,0
0,2010-10-01
1,2011-01-01
2,2011-01-01
3,2011-01-01
4,2011-01-01
5,2011-01-01
6,2011-01-01
7,2011-01-01
8,2011-01-01
9,2011-01-01
10,2011-01-01
11,2011-01-01
12,2011-01-01
13,2011-01-01
14,2011-01-01
15,2011-01-01
16,2010-10-01
17,2011-01-01
18,2011-01-01
19,2011-01-01
20,2011-01-01
21,2011-01-01
22,2011-01-01
23,2011-01-01
24,2010-10-01
25,2011-01-01
26,2011-01-01
27,2010-10-01
28,2010-10-01
29,2010-10-01
30,2010-10-01
31,2010-10-01
32,2010-10-01
33,2010-10-01
34,2010-10-01
35,2010-10-01
36,2010-10-01
37,2010-10-01
38,2010-10-01
39,2010-10-01
40,2010-10-01
41,2011-01-01
42,2010-10-01
43,2010-10-01
44,2011-01-01
45,2011-01-01
46,2011-01-01
47,2011-01-01
48,2011-01-01
49,2011-01-01
50,2011-01-01
51,2011-01-01
52,2011-01-01
53,2011-01-01
54,2011-01-01
55,2010-10-01
56,2010-10-01
57,2011-02-01
58,2011-01-01
59,2010-10-01
60,2010-10-01
61,2010-10-01
62,2010-10-01
63,2011-01-01
64,2011-01-01
65,2011-01-01
66,2011-01-01
67,2011-01-01
68,2011-01-01
69,2011-01-01
70,2011-01-01
71,2011-01-01
72,2011-01-01
73,2011-01-01
74,2011-01-01
75,2011-01-01
76,2010-10-01
77,2010-10-01
78,2010-10-05
79,2011-06-20
80,2011-01-01
81,2011-01-01
82,2011-01-01
83,2010-10-01
84,2010-10-01
85,2011-01-01
86,2011-01-01
87,2011-01-01
88,2011-01-01
89,2011-01-01
90,2011-01-01
91,2011-01-01
92,2011-05-13
93,2011-07-01
94,2011-01-01
95,2011-04-18
96,2011-03-30
97,2011-02-26
98,2011-01-01
99,2010-11-16
100,2011-01-01
101,2011-01-01
102,2010-10-01
103,2011-01-01
104,2011-03-30
105,2011-02-01
106,2011-02-01
107,2011-03-25
108,2011-01-01
109,2011-01-20
110,2011-01-01
111,2011-07-26
112,2011-06-07
113,2011-07-01
114,2011-01-01
115,2010-11-01
116,2011-04-01
117,2011-04-01
118,2010-10-01
119,2011-04-01
120,2010-11-01
121,2011-04-01
122,2011-01-01
123,2011-05-01
124,2011-01-01
125,2011-01-01
126,2011-01-01
127,2011-04-01
128,2011-01-01
129,2010-10-01
130,2011-06-01
131,2011-06-01
132,2011-01-01
133,2011-05-01
134,2011-01-01
135,2010-10-01
136,2011-07-01
137,2011-05-01
138,2011-05-01
139,2011-06-01
140,2011-06-01
141,2011-06-01
142,2011-06-01
143,2011-06-01
144,2011-06-01
145,2011-01-01
146,2011-06-01
147,2011-07-01
148,2011-06-01
149,2011-07-01
150,2010-10-01
151,2011-07-01
152,2010-10-01
153,2011-07-01
154,2011-07-01
155,2011-01-01
156,2011-01-01
157,2011-01-01
158,2011-03-01
159,2011-06-01
160,2011-06-01
161,2011-07-01
162,2011-07-01
163,2011-07-01
164,2011-01-01
165,2011-01-01
166,2011-07-01
167,2011-07-01
168,2011-07-01
169,2011-01-01
170,2011-07-01
171,2011-07-01
172,2011-07-01
173,2011-07-01
174,2011-07-01
175,2011-01-01
176,2011-01-01
177,2011-07-01
178,2011-07-01
179,2011-07-01
180,2011-07-01
181,2011-07-01
182,2011-07-01
183,2011-07-01
184,2011-07-01
185,2011-07-01
186,2011-07-01
187,2011-07-01
188,2011-07-01
189,2011-07-01
190,2011-07-01
191,2011-07-01
192,2011-07-01
193,2011-07-01
194,2011-07-01
195,2011-07-01
196,2011-07-01
197,2011-07-01
198,2011-07-01
199,2011-07-01
200,2011-07-01
201,2011-07-01
202,2010-10-01
203,2011-05-01
204,2011-07-01
205,2011-07-01
206,2011-07-01
207,2011-07-01
208,2011-01-01
209,2011-01-01
210,2010-10-01
211,2011-06-17
212,2011-07-01
213,2011-07-01
214,2011-07-01
215,2011-07-01
216,2011-07-01
217,2011-07-01
218,2011-07-01
219,2011-07-01
220,2011-07-01
221,2011-07-01
222,2011-03-01
223,2011-07-01
224,2011-07-01
225,2011-08-01
226,2011-01-01
227,2011-07-01
228,2011-07-01
229,2011-01-01
230,2011-01-01
231,2011-08-01
232,2011-07-01
233,2011-08-01
234,2011-01-01
235,2011-06-01
236,2010-10-01
237,2010-11-01
238,2011-07-01
239,2011-07-01
240,2011-07-01
241,2011-07-01
242,2011-01-01
243,2010-10-01
244,2011-07-01
245,2011-07-01
246,2011-07-01
247,2011-07-01
248,2010-10-01
249,2010-10-01
250,2010-11-01
251,2011-07-01
252,2011-01-01
253,2011-07-01
254,2011-01-01
255,2011-07-01
256,2011-01-01
257,2010-10-01
258,2011-01-01
259,2011-07-01
260,2011-08-12
261,2010-10-01
262,2011-07-01
263,2011-07-01
264,2011-01-01
265,2010-10-04
266,2011-07-01
267,2011-07-01
268,2011-09-01
269,2011-07-01
270,2011-01-01
271,2010-10-01
272,2011-01-01
273,2011-01-01
274,2010-10-01
275,2011-09-01
276,2010-10-01
277,2011-01-01
278,2010-10-01
279,2010-10-01
280,2010-10-01
281,2010-10-01
282,2011-09-01
283,2010-10-01
284,2010-10-27
285,2011-01-01
286,2011-01-01
287,2011-02-01
288,2011-01-01
289,2011-07-01
290,2011-07-01
291,2010-10-01
292,2010-10-01
293,2011-01-01
294,2010-10-01
295,2010-12-01
296,2011-01-01
297,2011-01-01
298,2011-04-01
299,2011-01-01
300,2011-01-01
301,2011-01-01
302,2011-07-01
303,2011-01-01
304,2010-10-01
305,2011-01-01
306,2011-01-01
307,2010-10-01
308,2010-10-01
309,2011-01-01
310,2010-10-01
311,2010-10-01
312,2011-01-01
313,2010-10-01
314,2010-10-01
315,2010-10-01
316,2010-10-01
317,2011-01-01
318,2010-10-01
319,2011-04-01
320,2011-01-01
321,2011-01-01
322,2011-01-01
323,2011-01-01
324,2011-07-01
325,2010-10-01
326,2011-05-01
327,2011-01-01
328,2010-10-01
329,2010-10-01
330,2010-10-01
331,2011-01-01
332,2011-03-01
333,2010-10-01
334,2010-11-01
335,2011-07-01
336,2011-01-01
337,2011-07-01
338,2011-01-01
339,2011-01-01
340,2011-04-01
341,2011-06-01
342,2010-10-01
343,2011-01-01
344,2011-01-01
345,2010-10-01
346,2011-01-01
347,2011-01-01
348,2011-01-01
349,2010-10-25
350,2010-10-01
351,2010-10-01
352,2011-07-01
353,2010-12-01
354,2011-01-01
355,2011-01-01
356,2011-01-01
357,2011-01-01
358,2011-01-01
359,2011-01-01
360,2011-04-01
361,2010-10-01
362,2010-10-25
363,2010-10-01
364,2011-01-01
365,2011-01-01
366,2011-06-01
367,2011-07-01
368,2011-01-01
369,2010-10-01
370,2011-02-01
371,2011-01-01
372,2010-10-01
373,2011-07-01
374,2011-03-01
375,2011-01-01
376,2010-10-01
377,2011-01-01
378,2010-10-01
379,2011-01-01
380,2010-10-01
381,2011-01-01
382,2011-01-01
383,2010-10-01
384,2010-10-01
385,2011-01-01
386,2010-10-01
387,2011-01-01
388,2011-05-01
389,2010-10-01
390,2010-10-01
391,2011-01-01
392,2011-01-01
393,2010-10-01
394,2010-10-01
395,2011-05-01
396,2011-01-01
